dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap	fbp_dhap_grap	g6p	glc	grap	ins_ext	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
1.67	mM																			0.8099301921040226							mM	concentration	all	mean	Experiment18
2.8	mM																			0.8549602048509503							mM	concentration	all	mean	Experiment18
8.3	mM																			1.0143128472890102							mM	concentration	all	mean	Experiment18
11.1	mM																			1.0640745809421126							mM	concentration	all	mean	Experiment18
16.7	mM																			1.1202889288390159							mM	concentration	all	mean	Experiment18
27.8	mM																			1.1725691699358043							mM	concentration	all	mean	Experiment18
28.0	mM																			1.1739684567276962							mM	concentration	all	mean	Experiment18
																															
0.0	mM																				0.15518063390539036						mM	concentration	all	mean	Experiment19
1.0	mM																				0.1860955085330781						mM	concentration	all	mean	Experiment19
1.67	mM																				0.20537145285864603						mM	concentration	all	mean	Experiment19
2.8	mM																				0.23538157204334728						mM	concentration	all	mean	Experiment19
3.0	mM																				0.24037663325278452						mM	concentration	all	mean	Experiment19
8.3	mM																				0.34187451128031254						mM	concentration	all	mean	Experiment19
10.0	mM																				0.3635163931513883						mM	concentration	all	mean	Experiment19
11.1	mM																				0.3751868417800108						mM	concentration	all	mean	Experiment19
16.7	mM																				0.4123898684105283						mM	concentration	all	mean	Experiment19
20.0	mM																				0.42271574917924537						mM	concentration	all	mean	Experiment19
27.8	mM																				0.44143083737577155						mM	concentration	all	mean	Experiment19
28.0	mM																				0.4421618621110853						mM	concentration	all	mean	Experiment19
																															
0.0	mM																					0.4615531060360183					mM	concentration	all	mean	Experiment20
2.0	mM																					0.49471428838164483					mM	concentration	all	mean	Experiment20
2.8	mM																					0.5079787613198954					mM	concentration	all	mean	Experiment20
16.7	mM																					0.7384489786219997					mM	concentration	all	mean	Experiment20
20.0	mM																					0.7931649294922835					mM	concentration	all	mean	Experiment20
																															
2.8	mM																						0.14046442172516233				mM	concentration	all	mean	Experiment21
16.7	mM																						0.4021214185259692				mM	concentration	all	mean	Experiment21
																															
2.0	mM																							0.6302866324441454			mM	concentration	all	mean	Experiment22
2.8	mM																							0.6690518746866471			mM	concentration	all	mean	Experiment22
16.7	mM																							1.342597958650113			mM	concentration	all	mean	Experiment22
																															
2.4	mM																								10.174646565738481		mM	concentration	all	mean	Experiment23
4.0	mM																								9.878930437654315		mM	concentration	all	mean	Experiment23
8.6	mM																								9.028746569412334		mM	concentration	all	mean	Experiment23
14.5	mM																								7.938293347101968		mM	concentration	all	mean	Experiment23
16.0	mM																								7.661059477023062		mM	concentration	all	mean	Experiment23
																															
2.0	mM																									0.3858008035788706	mM	concentration	all	mean	Experiment24
2.8	mM																									0.4017672580763105	mM	concentration	all	mean	Experiment24
3.0	mM																									0.40583320963797387	mM	concentration	all	mean	Experiment24
5.5	mM																									0.4591311434629617	mM	concentration	all	mean	Experiment24
7.0	mM																									0.4932708815432282	mM	concentration	all	mean	Experiment24
10.0	mM																									0.5662710934014222	mM	concentration	all	mean	Experiment24
11.7	mM																									0.6103576990430284	mM	concentration	all	mean	Experiment24
16.7	mM																									0.7509412396790119	mM	concentration	all	mean	Experiment24
17.0	mM																									0.759877743450382	mM	concentration	all	mean	Experiment24
20.0	mM																									0.8522422677771205	mM	concentration	all	mean	Experiment24
35.0	mM																									1.388472506790897	mM	concentration	all	mean	Experiment24
																															
